symbol,n_trades,total_pnl,total_entry_notional,return_rate
301658,1,376.4256000000003,9156.0,0.04111245085190043
301448,7,1665.3748500000008,60715.0,0.027429380713168094
300892,2,494.3853000000008,19614.0,0.02520573569899056
300769,1,181.5619499999997,9333.0,0.019453760848601703
301665,1,157.72395000000023,9126.0,0.017282922419460906
301317,5,798.7205999999985,46756.0,0.017082740183078076
688006,1,160.17959999999854,9807.0,0.01633319057815831
300991,13,1802.9923499999998,122978.0,0.014661096700222802
600463,22,2945.1796000000004,205749.0,0.014314429717762906
301223,1,127.68024999999977,9175.0,0.013916103542234307
301021,3,328.590599999999,24312.0,0.01351557255676205
003030,9,1084.4539499999985,80898.0,0.01340520099384408
002969,7,840.0577999999996,64364.0,0.013051671741967552
600983,7,879.8176999999993,67969.0,0.012944396710264964
301262,2,217.1554499999999,17349.0,0.01251688569946394
002690,1,112.73160000000028,9108.0,0.012377206851119926
300087,130,14723.821250000005,1216253.0,0.012105886891954227
603125,64,6895.7691500000055,574533.0,0.012002390028074985
000920,39,4193.801499999991,351157.0,0.011942810480782075
300360,1,112.43799999999922,9475.0,0.011866807387862714
300800,2,215.78345000000093,18833.0,0.011457731110285188
603787,7,744.8587500000021,65326.0,0.01140217907112026
600765,15,1483.8671499999966,131684.0,0.011268393654506216
301053,4,394.5058500000001,35697.0,0.01105151273216237
300971,53,5015.59704999999,460263.0,0.010897241468464748
300630,28,2941.3633000000004,271258.0,0.010843415862389313
000929,27,2769.3084999999974,256322.0,0.01080402189433602
600817,3,278.44100000000003,27005.0,0.01031072023699315
300729,9,859.6846499999989,84318.0,0.010195742901871474
300530,32,2826.088550000003,277938.0,0.010168053846541326
001338,3,285.4557999999985,28259.0,0.010101411939559025
003042,5,443.7895999999979,45278.0,0.009801439992932504
688570,2,170.91575000000051,17640.0,0.009689101473922932
300869,13,1068.3935499999966,110910.0,0.009632977639527513
603698,93,7926.175099999984,825833.0,0.009597794106072274
002855,37,3254.3096500000033,346355.0,0.009395878939238652
601136,69,6152.05100000003,656252.0,0.009374525334779978
000551,36,3013.8476,322732.0,0.009338545914257031
301535,18,1457.6311499999983,164401.0,0.008866315594187373
300659,32,2625.5888000000095,298630.0,0.008792113317483205
301302,25,1809.7708000000018,206437.0,0.008766697830330811
002487,1,84.26980000000017,9680.0,0.008705557851239687
603948,39,3142.453199999996,362365.0,0.008672066010790213
002801,1,79.64984999999974,9204.0,0.008653829856584066
301230,1,85.13235000000068,9852.000000000002,0.00864112362971992
000159,54,4490.010450000003,521497.0,0.008609849049946603
688357,2,144.48929999999984,16852.0,0.008574014953714683
603577,58,4743.129049999993,556468.0,0.008523633075037547
601330,10,790.6929499999954,93046.0,0.008497871482922376
300829,7,533.1573499999955,64873.0,0.008218478411665802
300648,3,223.29754999999955,27210.0,0.00820645167217933
601068,1,77.4511500000012,9452.0,0.00819415467625912
002678,21,1671.7280499999986,204288.0,0.008183192600642224
688358,1,65.59320000000059,8022.000000000001,0.008176664173522885
003039,2,151.19130000000072,18542.0,0.008153990939488768
603976,5,367.4590000000021,45752.0,0.008031539604826065
300690,12,880.394000000002,109645.0,0.008029495189019126
603676,53,3824.959050000005,478056.0,0.008001069017018936
600897,26,1803.0833500000024,226958.0,0.007944568378290266
600738,32,2441.9200000000037,307576.0,0.007939241033110528
603215,39,2730.1340999999907,345191.0,0.007909053538475774
002166,58,4320.498600000007,555280.0,0.007780756735340742
600359,35,2552.0468500000065,333799.0,0.007645459842599908
000856,910,65018.612149999964,8532948.0,0.007619712688979233
603739,74,5030.000499999997,670158.0,0.007505693433488815
603190,2,116.36414999999991,15819.0,0.007355973828939877
600097,28,1875.3328000000038,255729.0,0.007333281716191764
603207,8,513.6110999999996,70227.0,0.007313584518774825
300706,16,966.3359999999984,132184.0,0.00731053682745263
300848,12,809.6884499999977,111893.0,0.007236274387137692
002791,8,469.67109999999667,65305.0,0.007191962330602506
601882,3,197.07124999999905,27452.0,0.0071787574675797414
002813,6,401.2477000000001,56024.0,0.0071620680422676015
600857,49,3266.4127499999977,464176.0,0.0070370134388680105
301602,12,712.8688499999975,102156.0,0.0069782376952895325
301136,136,7991.426900000016,1145689.0,0.006975214827060412
