symbol,n_trades,total_pnl,total_entry_notional,return_rate
000801,1,192.76200000000108,9085.0,0.021217611447440957
002605,3,467.4445499999997,26616.0,0.017562539449954902
601677,1,154.14270000000187,9690.0,0.015907399380805147
688158,3,398.6141999999996,26811.0,0.014867561821640356
300170,87,7014.36194999999,769320.0,0.009117612891904527
002987,1,68.94580000000052,8756.0,0.007874120603015134
002588,2,145.14399999999944,18600.0,0.007803440860215023
603876,25,1598.334799999998,210915.0,0.007578099234288685
000899,21,1393.042750000003,194881.0,0.007148171191650305
003039,20,1245.1837499999979,175030.0,0.00711411615151687
300446,129,7809.658300000002,1106003.0,0.007061154716578528
603218,2,128.9496000000012,18696.0,0.006897175866495571
300925,6,338.5687000000015,49256.0,0.006873653971089847
688327,2,115.71950000000078,17875.0,0.0064738181818182255
002716,1216,71938.41019999988,11166915.0,0.006442102424886361
000969,192,10331.173350000026,1614362.0,0.006399539477514973
600718,1,55.9702499999999,8799.0,0.006360978520286385
002777,81,4629.934999999999,733500.0,0.006312113156100884
002041,25,1356.1163999999972,235104.0,0.005768155369538575
300229,34,1721.663899999999,300525.0,0.0057288541718658985
603693,101,5163.636250000006,913629.0,0.0056517867208681054
600776,126,6337.957649999993,1168850.0,0.0054223875176455435
300045,66,3092.703300000002,579171.0,0.005339879413851871
601702,9,385.4355500000035,74539.0,0.0051709246166436835
002484,2,90.29414999999936,18399.0,0.004907557475949746
300641,27,1152.683649999997,242809.0,0.004747285520717918
600446,1,42.70350000000071,9130.0,0.004677272727272805
300638,14,508.4128499999994,117741.0,0.004318061253089403
600629,28,1027.6050500000008,243321.0,0.004223248507116117
600459,81,2736.8063499999894,664921.0,0.004115987237581591
688432,2,72.52505000000065,18110.0,0.004004696300386562
301500,12,416.74699999999854,104312.0,0.0039951971010046645
300035,22,775.0395999999998,200536.0,0.0038648402281884543
601969,12,442.8963999999956,116000.0,0.0038180724137930654
600641,4,125.3251999999996,33372.0,0.003755399736305873
300199,42,1328.4203499999958,354678.0,0.003745426414945375
601020,4,135.63194999999808,36672.0,0.003698515215968534
300226,2,71.47784999999975,19419.0,0.0036808203306040346
002643,49,1629.9388500000068,446085.0,0.0036538750462355983
002258,29,890.1692499999997,251243.0,0.003543060901199236
600859,2,63.208499999999404,18504.0,0.0034159370946821987
688443,2,58.2300000000006,17226.0,0.0033803552769070357
300773,69,1886.6002500000136,569100.0,0.003315059304164494
601208,11,306.8971500000009,92700.0,0.0033106488673139258
603809,2,57.620399999999535,17982.0,0.003204337671004312
301153,4,95.41080000000063,30759.0,0.003101882375890004
002036,20,573.4751499999984,189526.0,0.0030258389350273757
002104,50,1401.7848500000011,480344.0,0.0029182936603767322
002364,10,246.91410000000067,88848.0,0.0027790619935170254
300113,37,851.7948999999984,312256.0,0.0027278736037097714
002389,41,885.9081500000043,333546.0,0.002656029902921949
002531,35,853.1057999999974,328707.0,0.0025953380974545644
300130,9,203.72325000000126,78783.0,0.002585878298617738
600633,18,435.40324999999956,169711.0,0.0025655570351951233
600686,14,298.4544000000017,126918.0,0.0023515529712097713
300075,4,86.51260000000036,36881.0,0.0023457227298609136
002326,57,1093.4689499999974,493978.0,0.00221359848009425
600577,26,527.7376000000004,240280.0,0.00219634426502414
002545,9,169.9892000000014,77557.0,0.002191797000915474
000059,14,296.1655500000023,136167.0,0.0021750170746216214
300036,1,17.510799999999488,8116.0,0.0021575653031049146
300687,9,164.16924999999895,78227.0,0.0020986264333286327
600726,158,3117.201650000008,1516077.0,0.0020560971837182466
002125,4,73.29689999999997,35868.0,0.002043517898962863
002925,28,466.8050000000039,231528.0,0.002016192425970094
002245,32,603.8427499999973,301485.0,0.0020028948372224067
300034,14,253.27499999999887,128345.0,0.001973392029296029
600331,13,244.49080000000282,124475.0,0.0019641759389435855
300457,4,67.71840000000114,35370.0,0.001914571670907581
300077,100,1647.877999999984,869310.0,0.0018956160633145645
000737,326,5497.122850000003,3050299.0,0.001802158690016947
000829,1,16.57319999999949,9288.0,0.0017843669250645444
002698,3,48.33450000000028,27095.0,0.0017838900166082408
600550,294,4728.583350000007,2725734.0,0.0017347926650216079
002840,1,16.329999999999487,9568.0,0.0017067307692307156
300257,2,32.67760000000075,19162.0,0.0017053334724976908
002378,301,4598.735950000044,2754097.0,0.0016697799496532054
002967,1,16.025999999999488,9972.0,0.0016070998796630053
002017,21,289.26459999999963,183431.0,0.0015769668158599126
002048,2,29.817150000000638,18987.0,0.0015703981671670426
600105,533,6689.2858999999735,4433229.0,0.0015088969913352036
002174,4,54.89819999999944,36393.0,0.0015084824004616118
002015,261,3478.785949999996,2324674.0,0.0014964618479838445
002123,38,512.2200999999986,347163.0,0.001475445539991297
002324,143,1826.1941999999947,1320949.0,0.0013824865305170713
300102,90,986.1385500000071,727389.0,0.0013557237599138934
600963,17,221.4458999999981,165759.0,0.001335950989086554
002194,7,82.52859999999805,61864.0,0.0013340327169274223
603887,4,48.328500000000474,37104.0,0.0013025145536869468
000065,1,10.985100000000681,8754.0,0.0012548663468129634
300151,7,74.23540000000197,62209.0,0.0011933225096047513
000681,22,228.0572999999972,192316.0,0.001185846731421188
600151,460,4935.062349999985,4234252.0,0.0011655098350310715
300459,114,1262.3536000000008,1102288.0,0.0011452121405658058
300131,123,1349.8481999999992,1187136.0,0.0011370628133592102
300065,280,2757.9348000000195,2460950.0,0.0011206789248054694
300568,13,132.1838000000005,119735.0,0.0011039695995323047
600961,21,207.77334999999883,191300.0,0.0010861126502875005
002237,166,1607.504649999984,1489783.0,0.0010790193269757972
002506,17,170.97680000000207,166080.0,0.0010294845857418237
603013,4,34.64944999999884,35518.0,0.0009755462019257515
002320,1,8.72560000000108,9096.0,0.0009592788038699517
300401,8,67.57154999999824,71785.0,0.0009413045900953993
300674,6,45.26939999999928,48408.0,0.0009351636093207586
000422,13,113.08685000000207,122256.0,0.0009250004089778994
601519,15,125.23830000000244,135984.0,0.0009209782033180553
300398,3,22.278300000000172,24660.0,0.0009034184914841919
002276,28,222.33900000000529,247075.0,0.000899884650409816
000901,340,2509.3795000000086,2862207.0,0.000876728866919831
300682,22,174.21309999999843,204842.0,0.0008504754884252176
002611,46,374.4427499999983,447664.0,0.0008364370375996245
600388,1,7.434250000000569,9460.0,0.0007858615221987916
600366,5,36.4574999999986,46900.0,0.0007773454157782218
002023,11,71.54200000000031,100573.0,0.0007113439988863841
002373,5,32.84889999999975,46452.0,0.0007071579264617186
002270,11,61.09830000000028,96153.0,0.0006354279117656265
300068,1,6.162099999999701,9800.0,0.0006287857142856839
301262,2,10.501199999999486,16878.0,0.0006221827230714235
002051,6,32.99825000000116,57544.0,0.0005734437995273383
000680,3,16.19544999999917,28513.0,0.0005680023147336011
688586,13,66.93180000000362,121276.0,0.0005518965005442431
300468,1,4.80420000000081,8985.0,0.0005346911519199565
600531,96,434.24785000000696,876224.0,0.0004955899975348848
000811,12,50.50905000000016,105481.0,0.0004788450052616126
002317,26,114.42389999999584,249348.0,0.00045889239135664145
300080,10,42.946799999998696,96227.0,0.0004463071695054267
603100,1,2.917350000000341,7605.0,0.0003836094674556661
000555,107,325.86765000000247,994631.0,0.0003276266776322098
600761,2,5.6221999999974415,17976.0,0.0003127614597239342
300655,150,426.91510000000517,1419054.0,0.00030084485861708236
600662,37,97.60495000000074,359316.0,0.0002716409789711584
300188,7,17.394650000000627,67124.0,0.00025914203563554954
300348,16,38.280300000004004,154488.0,0.0002477881777225675
603108,12,23.287699999999106,108576.0,0.00021448294282345182
600783,38,67.83830000000158,327624.0,0.00020706144848973697
301078,26,51.40885000000419,249304.0,0.00020620948721241614
600416,7,11.189600000000056,66025.0,0.00016947519878833859
300525,2,3.1130999999996165,18612.0,0.00016726305609282273
600877,79,60.427649999996135,687988.0,0.0000878324185886907
600273,15,12.53824999999648,143111.0,0.00008761206336337865
002946,3,2.179750000002131,28530.0,0.00007640203294784896
000990,13,7.5504500000010495,124332.0,0.00006072813113278198
002268,6,0.7426000000011896,53996.0,0.000013752870583028181
002536,7,0.847649999998378,62703.0,0.000013518491938158908
000923,7,0.5558500000020175,58064.0,9.573057316099778e-6
002077,175,-5.530499999982993,1621330.0,-3.411088427391705e-6
600986,360,-92.90719999997333,3395659.0,-0.00002736058008179659
002550,4,-3.3813999999993527,39232.0,-0.00008618984502445332
002400,461,-414.1600499999913,4379321.0,-0.0000945717498214886
300443,1,-1.1079000000001287,8886.0,-0.00012467927076301245
601900,2,-2.729399999999192,18414.0,-0.00014822417725639142
600821,668,-1090.8972499999834,6397778.0,-0.0001705118949110118
000035,151,-256.78129999999516,1463662.0,-0.00017543756686994345
002249,16,-28.51449999999606,148128.0,-0.00019249905487143593
300079,15,-28.773850000001897,147234.0,-0.00019542938451717605
600338,22,-43.268349999996985,197814.0,-0.00021873249618326805
300253,199,-480.25614999999664,1878785.0,-0.0002556206005476926
600773,8,-20.148699999999383,72693.0,-0.00027717524383364815
603305,4,-9.83090000000216,34780.0,-0.0002826595744681472
600158,2,-5.726499999998438,19660.000000000004,-0.00029127670396736713
688548,11,-33.844449999998304,98640.0,-0.0003431108069748409
000676,65,-221.01045000001548,622232.0,-0.00035518978451769674
002038,174,-632.2377500000035,1667389.0,-0.0003791783141186631
000612,64,-225.24644999999992,587441.0,-0.0003834367196024791
600744,876,-3344.500800000024,8399979.0,-0.0003981558525324913
002651,4,-14.311500000000294,35392.0,-0.0004043710443038058
000758,347,-1353.0091499999949,3335429.0,-0.00040564771428202933
600556,876,-3567.8569000000566,8409964.0,-0.0004242416376574331
002539,10,-41.904800000002815,92387.0,-0.00045357896673777496
300657,1,-3.945149999999531,8679.0,-0.0004545627376425315
603533,14,-52.32134999999927,114255.0,-0.0004579348824996654
300133,295,-1585.008299999983,2818323.0,-0.0005623941258684625
002498,1576,-8703.02470000004,14963241.0,-0.0005816269817481414
301015,2,-11.519400000000795,19396.0,-0.0005939059599917918
600759,976,-5592.925650000077,9396790.0,-0.0005951953433034129
600682,41,-241.40984999999904,393026.0,-0.0006142337911486747
300337,92,-528.0365499999966,848767.0,-0.000622121913316607
000567,9,-55.390699999998965,86773.0,-0.0006383402671337739
300755,8,-45.634500000000216,69545.0,-0.0006561866417427596
000917,49,-303.1478999999995,446617.0,-0.0006787648029519689
688660,4,-24.007399999998665,35010.0,-0.0006857297914881081
603220,3,-18.721950000000597,27189.0,-0.000688585457354099
000061,16,-111.60650000000021,152010.0,-0.0007342049865140465
603169,28,-208.56650000000212,272871.0,-0.0007643410256128431
002267,4,-29.66225000000002,38328.0,-0.0007739054998956382
002073,1,-7.508800000000001,9386.0,-0.0008
601890,1,-7.6896,9612.0,-0.0008
300284,1,-7.896000000000001,9870.0,-0.0008
688549,15,-115.92539999999458,139906.0,-0.0008285949137277499
000503,18,-149.18580000000298,171450.0,-0.000870141732283482
002163,193,-1507.0175000000067,1690899.0,-0.0008912522273654468
002654,20,-168.3051000000027,187878.0,-0.0008958212244116006
600996,77,-658.3427999999875,732942.0,-0.0008982195044082445
600120,172,-1485.0884000000055,1646452.0,-0.0009019931343276364
002171,49,-416.6678999999953,448333.0,-0.0009293714716516414
002176,50,-443.50014999999246,473095.0,-0.0009374441708324807
002617,363,-3299.474400000011,3463716.0,-0.0009525822555890872
603033,10,-92.62895000000142,94551.0,-0.0009796718173261142
600586,150,-1461.394000000023,1456172.0,-0.0010035861148271104
600635,276,-2692.596900000002,2657923.0,-0.0010130454870212575
300315,266,-2620.255700000009,2577936.0,-0.0010164161173900396
000019,17,-167.57274999999706,163209.0,-0.001026737189738293
600997,27,-271.6166500000056,260759.0,-0.0010416386395100672
002099,96,-961.488649999999,923009.0,-0.0010416893551417148
603588,106,-1072.7092500000106,1017148.0,-0.0010546245482466765
000636,33,-329.52989999999545,309483.0,-0.0010647754480859867
002204,117,-1219.0617,1116305.0,-0.0010920507388213795
002292,163,-1713.7709999999954,1557126.0,-0.0011005987954731957
601952,15,-167.33549999999894,146660.0,-0.0011409757261693642
000930,62,-677.6472499999994,593413.0,-0.0011419487776641217
000833,20,-196.73954999999887,169804.0,-0.0011586272997102475
600478,87,-988.4830500000156,836794.0,-0.0011812740650626267
000048,4,-45.578249999998796,38220.0,-0.0011925235478806593
000058,5,-59.37899999999957,49220.0,-0.0012063998374644367
688352,4,-46.122399999997526,37674.0,-0.0012242501459892108
003006,2,-22.67639999999983,18344.0,-0.0012361753161796681
002815,7,-83.52449999999936,66900.0,-0.0012484977578475242
300303,238,-2883.495800000001,2299406.0,-0.0012540176897859712
002354,515,-6321.311899999995,4948744.0,-0.0012773568202355983
002516,3,-37.421299999999704,29274.0,-0.0012783118125298798
603279,2,-23.472550000000695,18104.0,-0.001296539438798094
600428,82,-1021.2928499999971,782748.0,-0.0013047530622882423
600651,180,-2268.4755000000023,1732929.0,-0.0013090412244240834
300455,9,-107.42309999999802,81660.0,-0.0013154922850844724
600490,326,-4195.502249999988,3124736.0,-0.0013426741491121131
603227,6,-79.07679999999931,58840.0,-0.0013439292997960454
600916,74,-947.7164500000034,700660.0,-0.0013526053292609874
600502,3,-39.04239999999966,28800.0,-0.0013556388888888772
002675,2,-25.834449999999585,18541.0,-0.0013933687503370684
002212,98,-1282.6495500000083,916819.0,-0.0013990215625985154
300008,476,-6573.307799999964,4570802.0,-0.0014381081919540518
600163,116,-1634.1678499999891,1123708.0,-0.001454263785609775
301109,1,-13.287299999999872,9108.0,-0.0014588603425559807
600810,89,-1253.81170000001,849657.0,-0.0014756680637010111
000600,61,-857.5773500000025,580648.0,-0.0014769315488902099
000686,6,-87.21399999999915,59010.0,-0.0014779528893407753
002537,229,-3281.0974999999935,2208687.0,-0.0014855420890329835
600728,221,-3108.4072500000098,2091451.0,-0.0014862443585816783
600509,113,-1604.1060000000077,1074973.0,-0.001492229107149675
001203,12,-147.4591500000012,98130.0,-0.001502691837358618
300232,50,-728.2863499999997,484044.0,-0.0015045870829924546
301039,15,-211.97499999999962,139950.0,-0.00151464808860307
601101,53,-775.0550499999985,510012.0,-0.0015196800271366133
300352,325,-4774.8074499999975,3139139.0,-0.0015210563947630218
600623,80,-1173.8069000000003,769681.0,-0.0015250563545157023
603300,268,-3984.1746999999978,2597504.0,-0.0015338473780983583
603118,2,-29.200500000000943,19012.0,-0.0015358983799705944
300276,81,-1217.6804999999936,784490.0,-0.001552193781947499
688779,39,-589.6684999999998,379532.0,-0.001553672681091449
600508,1,-14.426649999999851,9282.0,-0.001554260935143272
000791,94,-1419.5569499999965,913067.0,-0.0015547127976369714
600246,51,-759.0329500000046,487416.0,-0.0015572589943703215
600864,46,-696.1101999999998,445074.0,-0.0015640324979666299
300296,236,-3564.0859000000046,2272256.0,-0.0015685230449386004
002928,35,-518.5192000000012,328101.0,-0.0015803645828571117
605555,2,-30.190250000000567,18985.0,-0.001590215959968426
300180,64,-987.7344500000008,620826.0,-0.0015910004574550692
601636,55,-850.0402500000039,533721.0,-0.001592667798344086
601619,82,-1291.3437000000033,796737.0,-0.001620790423941656
002221,52,-823.5380499999964,505613.0,-0.0016287912889897933
600869,46,-717.194100000004,438606.0,-0.0016351670975773337
002020,2,-29.382250000000575,17930.0,-0.0016387200223090114
600389,3,-40.65675000000008,24567.0,-0.0016549334473073669
002408,65,-1046.4612999999947,630475.0,-0.0016597982473531777
600201,8,-120.93745000000024,72386.0,-0.0016707298372613522
600618,31,-463.70990000001,276990.0,-0.0016741033972345934
600133,15,-250.83369999999883,145972.0,-0.0017183685912366675
300088,133,-2215.8421499999986,1278344.0,-0.0017333692261237966
002706,12,-202.370100000003,115442.0,-0.0017530023734862788
300083,107,-1814.6131500000072,1031831.0,-0.0017586340689512208
601369,1,-16.280550000001405,9099.0,-0.001789268051434378
600167,23,-395.2147500000052,217727.0,-0.0018151848415676752
002183,119,-2094.0964500000105,1153630.0,-0.0018152236418955909
600640,2,-32.05709999999962,17568.0,-0.0018247438524589949
301263,1,-16.00935000000034,8760.0,-0.0018275513698630525
688403,15,-252.1501000000037,137729.0,-0.0018307698451306821
002434,4,-70.84600000000093,38550.0,-0.001837769130998727
603567,15,-264.53610000000003,143142.0,-0.0018480676530997194
600123,58,-1061.0576000000015,566224.0,-0.0018739184492356407
002158,1,-15.697349999999275,8370.0,-0.0018754301075267952
300861,1,-17.377499999999785,9220.0,-0.0018847613882863106
600063,142,-2568.7884000000013,1360761.0,-0.0018877586879694533
600971,55,-986.8975000000033,521015.0,-0.0018941825091408182
002075,6,-110.29439999999865,57856.0,-0.0019063606194690032
000875,354,-6588.198799999994,3424499.0,-0.0019238431081451605
600595,520,-9580.750250000012,4956385.0,-0.0019330117111564199
603055,15,-276.345900000002,142902.0,-0.0019338140823781473
000543,15,-280.6567499999986,144540.0,-0.001941723744292228
600100,56,-1031.675050000008,530730.0,-0.0019438792794829914
600266,382,-7224.743150000001,3684565.0,-0.001960813053915456
000950,172,-3308.3196500000013,1671220.0,-0.001979583567693063
600929,43,-824.6161999999975,415678.0,-0.001983786007438444
002100,38,-727.3419000000036,366596.0,-0.00198404210629686
002697,166,-3208.9568499999873,1617132.0,-0.00198435059723015
600888,69,-1318.3748500000058,664178.0,-0.001984972176133515
